id,Exp,Plot,Duration,Finished,AvgScore_Risk,Score_Risk,RiskEntry,Crime,JuryJudge,RiskCheck,MinNumEst,MinNumEst_2,MinNumEst_3,MinNumEst_3_6_TEXT,RiskVal2Label,RiskNumEst_1,RiskNumEst_2,RiskNumEst_3,RiskNumEst_4,RiskNumEst_5,NC_1,NC_2,NC_3,NC_4,NC_5,NC_6,NC_7,NC_8,NC_9,NC_10,NC_11,NC_12,NC_13,NC_14,NC_15,NC_16,NC_17,NC_18,DJO1,DJO2,DJO3,DJO4,DJO5,DJO6,DJO7,DJO8,DJY1,DJY2,DJY3,DJY4,DJY5,DJY6,DJY7,DJY8,CRT1,CRT2,CRT3,Age,Vote,Jury,Educ,Job,Income,Political,Race,Sex,Risk,PlotType,StaticScore,RiskValue,Name,Minutes,CrimeAcc,DOB,BeyondDoubt,RiskCheck_Not_Rem,RiskLevel_1,RiskLevel_2,RiskLevel_3,RiskLevel_4,RiskLevel_5,AvgScore_Risk_Est_Diff,Score_Risk_Est_Diff,Score_Risk_Est_Diff_Exp,FailedChecks,OrderedRisk,exclusion
15145,Exp 1,Unweighted,1518,True,25,15,9,Sexual Offense,1,9,10,Average Risk,Well Above Average Risk,NA,Well Above Average Risk,0,0,10,20,30,Very Strongly Agree,Very Strongly Agree,Very Strongly Disagree,Very Strongly Disagree,Very Strongly Disagree,-,Very Strongly Disagree,Very Strongly Disagree,Very Strongly Disagree,Very Strongly Agree,Very Strongly Agree,Very Strongly Disagree,-,-,Very Strongly Agree,Very Strongly Disagree,Very Strongly Disagree,Very Strongly Agree,Disagree,"Slightly
Agree",Disagree,"Slightly
Disagree",Agree,"Slightly
Agree",Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,NA,NA,NA,21,Yes,No,4-year degree,Student,"Less than $14,999",Moderately liberal,Native Hawaiian or Pacific Islander,Female,high risk,default,2,60% risk likelihood,Respondent,25.3,1,2001,1,,0,0,10,20,30,5.731730206376536,6.019993798046075,6,0,1,include
15459,Exp 1,None,2095,True,NA,NA,9,Sexual Offense,0,9,2,Above Average Risk,Below Average Risk,NA,Well Above Average Risk,90,80,80,40,0,Very Strongly Disagree,-,-,Neutral,-,-,-,-,-,-,-,-,Neutral,-,-,Very Strongly Disagree,-,-,Agree,Disagree,"Slightly
Agree",Disagree,"Slightly
Disagree","Slightly
Disagree",Disagree,Disagree,Agree,Agree,Agree,Disagree,"Slightly
Agree",Neutral,"Slightly
Disagree","Slightly
Agree",NA,NA,NA,18,Yes,No,Some college,Unemployed,"$15,000 - $29,999",Weakly conservative,Other,Female,low risk,noplot,2,20% risk likelihood,Respondent,34.92,1,2004,0,,90,80,80,40,0,NA,NA,NA,0,0,include
15739,Exp 1,Unweighted,1340,True,20,10,9,Sexual Offense,0,9,20,Average Risk,Very Low Risk,NA,Above Average Risk,10,10,30,40,50,-,-,-,-,-,-,Neutral,-,-,-,-,-,-,-,-,-,-,-,"Slightly
Agree",Disagree,"Slightly
Disagree","Slightly
Agree",Disagree,"Slightly
Disagree","Slightly
Disagree","Slightly
Agree",Agree,Agree,Agree,Agree,Agree,"Slightly
Agree",Agree,Agree,NA,NA,NA,22,Yes,No,Some college,Student,"Less than $14,999",Moderately liberal,Other,Female,risk,default,2,30% risk likelihood,Respondent,22.33,1,2000,0,,10,10,30,40,50,0.7317302063765361,1.019993798046075,1,0,1,include
15803,Exp 1,Unweighted,8256,True,25,9,9,Sexual Offense,0,9,2,Above Average Risk,Very Low Risk,NA,Above Average Risk,0,10,30,40,100,Very Strongly Agree,Very Strongly Agree,Very Strongly Disagree,Very Strongly Disagree,Very Strongly Disagree,Very Strongly Agree,Neutral,Neutral,-,-,Very Strongly Agree,-,-,-,Very Strongly Agree,Neutral,Neutral,Very Strongly Agree,Neutral,Disagree,"Slightly
Disagree",Disagree,Disagree,"Slightly
Disagree",Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,"Slightly
Disagree",Neutral,NA,NA,NA,18,No,No,Some college,Student,"Less than $14,999",Centrist/Middle of the Road,Other,Male,high risk,default,2,10% risk likelihood,Respondent,137.6,1,2004,0,,0,10,30,40,100,5.731730206376536,0.01999379804607493,0,0,1,include
14000,Exp 1,Weighted,2200,True,45,11,9,Sexual Offense,0,9,35,Above Average Risk,Below Average Risk,NA,Above Average Risk,10,20,40,60,70,-,-,-,-,-,-,-,-,-,Very Strongly Agree,Very Strongly Agree,-,-,-,Very Strongly Agree,-,Very Strongly Disagree,-,Strongly Disagree,Strongly Disagree,"Slightly
Disagree",Disagree,Disagree,Disagree,Disagree,"Slightly
Disagree",Agree,Agree,"Slightly
Agree",Disagree,Agree,Agree,Agree,Agree,NA,NA,NA,22,No,No,4-year degree,Student,"Less than $14,999",Moderately liberal,Hispanic/Latino,Female,moderate to high risk,size,2,60% risk likelihood,Respondent,36.67,1,2000,0,,10,20,40,60,70,25.731730206376536,2.019993798046075,2,0,1,include
15844,Exp 1,Unweighted,1224,True,8,10,9,Sexual Offense,0,9,51,Above Average Risk,Below Average Risk,NA,Average Risk,0,20,50,60,70,-,-,Neutral,-,-,Neutral,Neutral,-,-,-,-,-,-,Neutral,-,-,-,-,"Slightly
Disagree","Slightly
Disagree",Neutral,"Slightly
Disagree",Disagree,"Slightly
Disagree","Slightly
Disagree",Disagree,Agree,Agree,Agree,Agree,Agree,"Slightly
Agree",Neutral,"Slightly
Agree",NA,NA,NA,18,No,No,Some college,Student,"Less than $14,999",Moderately liberal,Asian,Female,low risk,default,2,50% risk likelihood,Respondent,20.4,1,2004,0,,0,20,50,60,70,-11.268269793623464,1.019993798046075,1,0,1,include
14032,Exp 1,Unweighted,661,True,25,10,9,Sexual Offense,1,9,7,Below Average Risk,Very Low Risk,NA,Well Above Average Risk,0,0,10,30,50,-,-,-,-,-,-,Neutral,-,-,-,-,-,Neutral,-,-,-,-,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,"Slightly
Agree",Neutral,"Slightly
Disagree","Slightly
Agree","Slightly
Agree","Slightly
Agree","Slightly
Agree","Slightly
Agree","Slightly
Agree","Slightly
Agree","Slightly
Agree",NA,NA,NA,22,Yes,No,4-year degree,Student,"Less than $14,999",Moderately liberal,Asian,Female,risk,default,2,70% risk likelihood,Respondent,11.02,1,2000,1,,0,0,10,30,50,5.731730206376536,1.019993798046075,1,0,1,include
15633,Exp 1,Weighted,1539,True,25,12,9,Sexual Offense,1,9,30,Well Above Average Risk,Very Low Risk,NA,Above Average Risk,10,30,50,70,100,-,-,-,Neutral,-,-,-,-,-,Neutral,Neutral,Neutral,-,-,Neutral,-,Neutral,-,Agree,Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,NA,NA,NA,18,Yes,No,High school graduate,Unemployed,"Less than $14,999",Moderately liberal,Other,Female,high risk,size,2,70% risk likelihood,Respondent,25.65,1,2004,1,,10,30,50,70,100,5.731730206376536,3.019993798046075,3,0,1,include
14997,Exp 1,Weighted,1461,True,20,10,9,Sexual Offense,0,9,70,Above Average Risk,Well Above Average Risk,NA,Below Average Risk,10,20,40,70,80,Neutral,Neutral,Neutral,Neutral,-,-,-,Neutral,Neutral,-,-,-,-,Very Strongly Disagree,Neutral,-,-,-,Neutral,Neutral,Neutral,Neutral,"Slightly
Disagree",Disagree,"Slightly
Disagree",Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,NA,NA,NA,21,Yes,No,Some college,Student,"Less than $14,999",Weakly liberal,Other,Female,moderate to high risk,size,2,20% risk likelihood,Respondent,24.35,1,2001,0,,10,20,40,70,80,0.7317302063765361,1.019993798046075,1,0,1,include
15313,Exp 1,Weighted,1084,True,80,60,20,Sexual Offense,1,9,30,Above Average Risk,Above Average Risk,NA,Above Average Risk,0,10,20,30,40,-,-,-,Neutral,-,Neutral,-,Very Strongly Agree,-,-,-,-,-,-,-,-,-,-,"Slightly
Disagree",Disagree,Disagree,"Slightly
Agree",Neutral,"Slightly
Agree","Strongly
Agree","Strongly
Agree","Slightly
Agree","Slightly
Agree","Slightly
Agree","Slightly
Agree","Slightly
Agree","Slightly
Agree","Slightly
Agree","Slightly
Agree",NA,NA,NA,19,Yes,No,4-year degree,Employed Part Time,"Less than $14,999",Moderately liberal,Black or African American,Female,low to moderate risk,size,2,60% risk likelihood,Respondent,18.07,1,2003,1,,0,10,20,30,40,60.73173020637654,51.01999379804607,51,1,1,exclude
15834,Exp 1,Weighted,1281,True,30,11,9,Sexual Offense,0,9,34,Above Average Risk,Above Average Risk,NA,Average Risk,10,30,50,70,90,-,-,-,-,-,Very Strongly Agree,-,Neutral,-,Very Strongly Agree,-,-,-,-,-,Neutral,-,-,Neutral,Disagree,"Slightly
Agree",Disagree,"Slightly
Disagree",Neutral,Disagree,Strongly Disagree,"Slightly
Agree","Slightly
Disagree",Agree,"Slightly
Disagree",Neutral,"Slightly
Agree",Neutral,"Slightly
Disagree",NA,NA,NA,20,Yes,No,Some college,Employed Part Time,"Less than $14,999",Strongly liberal,Other,Female,low risk,size,2,20% risk likelihood,Respondent,21.35,1,2002,0,,10,30,50,70,90,10.731730206376536,2.019993798046075,2,0,1,include
14640,Exp 1,Unweighted,571,True,22,9,9,Sexual Offense,1,9,5,Average Risk,Very Low Risk,NA,Very Low Risk,10,20,30,50,70,Very Strongly Agree,Very Strongly Agree,Very Strongly Disagree,Very Strongly Disagree,Very Strongly Disagree,Very Strongly Agree,Very Strongly Disagree,Very Strongly Disagree,Very Strongly Disagree,Very Strongly Agree,Very Strongly Agree,Very Strongly Disagree,Very Strongly Agree,Very Strongly Agree,Very Strongly Agree,Very Strongly Agree,Very Strongly Disagree,Very Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,NA,NA,NA,20,Yes,No,Some college,Student,"$30,000 - $44,999",Weakly liberal,Asian,Female,low to moderate risk,default,2,0% risk likelihood,Respondent,9.52,1,2002,1,,10,20,30,50,70,2.731730206376536,0.01999379804607493,0,0,1,include
15356,Exp 1,Unweighted,1417,True,15,8.5,9,Sexual Offense,0,9,20,Above Average Risk,Below Average Risk,NA,Well Above Average Risk,10,20,30,40,50,Very Strongly Agree,-,Very Strongly Disagree,Very Strongly Disagree,Very Strongly Disagree,Very Strongly Agree,Very Strongly Disagree,-,Very Strongly Disagree,Very Strongly Agree,Very Strongly Agree,Very Strongly Disagree,Very Strongly Agree,Very Strongly Agree,Very Strongly Agree,-,Very Strongly Disagree,-,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,NA,NA,NA,19,No,No,Some college,Student,"Less than $14,999",Moderately conservative,Hispanic/Latino,Male,risk,default,2,50% risk likelihood,Respondent,23.62,1,2003,0,,10,20,30,40,50,-4.268269793623464,-0.48000620195392507,-0.5,0,1,include
15454,Exp 1,Weighted,2723,True,40,13,12,Sexual Offense,0,12,30,Average Risk,Above Average Risk,NA,Below Average Risk,20,50,30,50,40,-,-,-,-,-,Neutral,-,-,-,-,-,-,-,-,-,-,-,-,"Slightly
Disagree",Neutral,"Slightly
Disagree","Slightly
Agree","Slightly
Agree","Slightly
Disagree","Slightly
Disagree","Slightly
Disagree","Slightly
Disagree",Neutral,"Slightly
Disagree","Slightly
Disagree",Disagree,"Slightly
Disagree",Neutral,Neutral,NA,NA,NA,18,No,No,Some college,Student,"Less than $14,999",Strongly liberal,White or Non-Hispanic White,Female,high risk,size,2,40% risk likelihood,Respondent,45.38,1,2004,0,,20,50,30,50,40,20.731730206376536,4.019993798046075,4,1,0,include
14978,Exp 1,Weighted,510,True,40,12,9,Sexual Offense,0,9,20,Very Low Risk,Below Average Risk,NA,Average Risk,0,10,10,20,30,-,-,-,Neutral,Neutral,-,-,Neutral,-,Very Strongly Disagree,-,Very Strongly Disagree,-,-,-,Neutral,Very Strongly Disagree,-,Disagree,Disagree,Disagree,Disagree,"Slightly
Disagree","Slightly
Disagree",Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,"Slightly
Agree",Agree,NA,NA,NA,19,Yes,No,4-year degree,Student,"Less than $14,999",Centrist/Middle of the Road,Asian,Female,moderate to high risk,size,2,10% risk likelihood,Respondent,8.5,1,2003,0,,0,10,10,20,30,20.731730206376536,3.019993798046075,3,0,1,include
15548,Exp 1,None,1518,True,NA,NA,9,Sexual Offense,0,9,20,Above Average Risk,Below Average Risk,NA,Below Average Risk,0,10,20,30,50,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,-,Neutral,-,Neutral,Neutral,-,Neutral,-,Neutral,Neutral,-,Neutral,Disagree,"Slightly
Disagree","Slightly
Disagree",Neutral,Disagree,"Slightly
Disagree",Disagree,"Slightly
Disagree",Disagree,"Slightly
Disagree","Slightly
Disagree",Disagree,Neutral,Neutral,"Slightly
Disagree",Neutral,NA,NA,NA,19,Yes,No,Some college,Student,"Less than $14,999",Moderately liberal,Hispanic/Latino,Female,moderate to high risk,noplot,2,0% risk likelihood,Respondent,25.3,1,2003,0,,0,10,20,30,50,NA,NA,NA,0,1,include
15801,Exp 1,None,258822,True,NA,NA,9,Sexual Offense,0,9,50,Average Risk,Above Average Risk,NA,Average Risk,10,20,30,40,50,-,Neutral,Neutral,-,-,Neutral,-,Neutral,-,Neutral,-,-,-,-,Neutral,Neutral,Neutral,Neutral,"Slightly
Agree",Neutral,"Slightly
Agree","Slightly
Agree","Slightly
Agree","Slightly
Agree","Slightly
Agree",Neutral,"Slightly
Agree",Neutral,"Slightly
Agree",Agree,Neutral,Agree,Agree,Neutral,NA,NA,NA,20,No,No,4-year degree,Student,"Less than $14,999",Weakly conservative,White or Non-Hispanic White,Male,low to moderate risk,noplot,2,20% risk likelihood,Respondent,4313.7,1,2002,0,,10,20,30,40,50,NA,NA,NA,0,1,include
15703,Exp 1,Unweighted,1354,True,15,10,9,Sexual Offense,0,9,20,Average Risk,Very Low Risk,NA,Above Average Risk,10,30,50,80,100,-,-,Neutral,-,Neutral,-,Neutral,-,-,-,Neutral,Neutral,Neutral,-,-,-,-,Neutral,"Slightly
Agree",Neutral,"Slightly
Agree","Slightly
Agree","Slightly
Disagree","Slightly
Disagree",Neutral,"Slightly
Disagree",Neutral,Neutral,"Slightly
Agree","Slightly
Agree",Neutral,"Slightly
Agree","Slightly
Agree","Slightly
Agree",NA,NA,NA,18,Yes,No,Some college,Student,"Less than $14,999",Weakly liberal,White or Non-Hispanic White,Female,low to moderate risk,default,2,risk,Respondent,22.57,1,2004,0,,10,30,50,80,100,-4.268269793623464,1.019993798046075,1,0,1,include
15761,Exp 1,Unweighted,2467,True,12,10,9,Sexual Offense,0,9,20,Average Risk,Very Low Risk,NA,Well Above Average Risk,10,20,40,60,80,Very Strongly Agree,Very Strongly Agree,Very Strongly Disagree,Very Strongly Disagree,Very Strongly Disagree,Very Strongly Agree,-,-,Very Strongly Disagree,Very Strongly Agree,Very Strongly Agree,Very Strongly Disagree,-,-,-,-,-,-,Neutral,"Slightly
Agree","Slightly
Agree","Slightly
Disagree",Disagree,Disagree,Disagree,"Slightly
Disagree",Neutral,"Slightly
Disagree",Neutral,"Slightly
Disagree",Agree,"Slightly
Agree","Strongly
Agree",Agree,NA,NA,NA,18,Yes,No,Some college,Student,"Less than $14,999",Strongly liberal,White or Non-Hispanic White,Female,moderate to high risk,default,2,60% risk likelihood,Respondent,41.12,1,2004,0,,10,20,40,60,80,-7.268269793623464,1.019993798046075,1,0,1,include
15763,Exp 1,Weighted,730,True,10,50,100,Sexual Offense,0,100,80,Above Average Risk,Very Low Risk,NA,Below Average Risk,10,50,70,90,100,-,-,-,-,-,-,-,Neutral,Neutral,-,-,-,-,Neutral,-,-,-,-,"Slightly
Agree","Slightly
Agree",Agree,"Slightly
Agree",Disagree,Disagree,"Strongly
Agree",Disagree,Neutral,Neutral,"Slightly
Agree",Neutral,Neutral,Neutral,Neutral,"Slightly
Agree",NA,NA,NA,21,No,No,4-year degree,Student,"Less than $14,999",Moderately liberal,Asian,Female,risk,size,2,10% risk likelihood,Respondent,12.17,1,2001,0,,10,50,70,90,100,-9.268269793623464,41.01999379804607,41,1,1,include
15696,Exp 1,None,672,True,NA,NA,9,Sexual Offense,0,9,5,Very Low Risk,Below Average Risk,NA,Above Average Risk,0,10,20,50,70,-,-,-,-,-,Neutral,-,-,-,-,-,-,-,-,-,-,Neutral,-,Neutral,Neutral,"Slightly
Agree","Slightly
Disagree","Slightly
Agree","Slightly
Agree","Slightly
Disagree",Disagree,"Slightly
Agree","Slightly
Agree","Slightly
Agree","Slightly
Agree","Slightly
Agree","Slightly
Agree","Slightly
Agree","Slightly
Agree",NA,NA,NA,18,Yes,No,Some college,Student,"Less than $14,999",Weakly liberal,Other,Female,moderate to high risk,noplot,2,70% risk likelihood,Respondent,11.2,1,2004,0,,0,10,20,50,70,NA,NA,NA,0,1,include
15693,Exp 1,Weighted,16449,True,20,2,9,Sexual Offense,0,9,20,Below Average Risk,Very Low Risk,NA,Below Average Risk,0,20,40,70,90,-,-,Very Strongly Disagree,-,-,Very Strongly Agree,Neutral,-,-,-,-,Neutral,Very Strongly Agree,-,-,Very Strongly Agree,Very Strongly Disagree,Very Strongly Agree,Disagree,Disagree,Disagree,Strongly Disagree,Neutral,"Slightly
Disagree",Neutral,Disagree,Agree,Neutral,"Slightly
Disagree",Agree,Agree,Agree,"Strongly
Agree",Agree,NA,NA,NA,18,Yes,No,Some college,Student,"Less than $14,999",Strongly liberal,Hispanic/Latino,Female,high risk,size,2,10% risk likelihood,Respondent,274.15,1,2004,0,,0,20,40,70,90,0.7317302063765361,-6.980006201953925,-7,0,1,include
15239,Exp 1,None,1681,True,NA,NA,9,Sexual Offense,0,9,50,Average Risk,Below Average Risk,NA,Above Average Risk,10,30,50,60,70,-,Very Strongly Agree,Very Strongly Disagree,Very Strongly Disagree,Very Strongly Disagree,Very Strongly Agree,Very Strongly Disagree,Neutral,-,-,-,Very Strongly Disagree,Very Strongly Agree,Very Strongly Agree,-,Very Strongly Disagree,-,Very Strongly Agree,"Slightly
Disagree","Slightly
Disagree",Neutral,"Slightly
Disagree",Disagree,Neutral,"Slightly
Disagree",Neutral,"Slightly
Disagree",Neutral,Neutral,Neutral,"Slightly
Disagree",Neutral,Neutral,Neutral,NA,NA,NA,20,Yes,No,Some college,Unemployed,"More than $105,000",Strongly liberal,White or Non-Hispanic White,Female,risk,noplot,2,60% risk likelihood,Respondent,28.02,1,2002,0,,10,30,50,60,70,NA,NA,NA,0,1,include
